Typeidentifikator;Sagsnummer;Sagsopgavenummer;Type;Nummer;Beskrivelse;Sagsopgavetype;Dimensionen Aktivitet;Antal;Kostpris;Kostbeloeb
30;1215;824;Kontrakt;90000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;100000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;110000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;120000;Seminar om rodukrudt 30/4-15;Konto;;2;0;0
30;1215;824;Kontrakt;130000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;140000;Seminar om rodukrudt 30/4-15;Konto;;2;0;0
30;1215;824;Kontrakt;150000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;160000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;170000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;180000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;190000;Seminar om rodukrudt 30/4-15;Konto;;2;0;0
30;1215;824;Kontrakt;200000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;210000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;220000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;230000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;240000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;250000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;260000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;270000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;280000;Deltagelse i kursusdag 8/10-15;Konto;;2;0;0
30;1215;824;Kontrakt;290000;Deltagelse i ERFA-møde 12/10-15;Konto;;2;0;0
30;1215;824;Kontrakt;300000;Deltagelse i kursusdag 8/10-15;Konto;;2;0;0
30;1215;824;Kontrakt;310000;Deltagelse i ERFA-møde 12/10-15;Konto;;2;0;0
30;1215;824;Kontrakt;320000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;330000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;340000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;350000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;360000;Deltagelse i ERFA-møde 12/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;370000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;380000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;390000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;400000;Deltagelse i kursusdag 8/10-15;Konto;;2;0;0
30;1215;824;Kontrakt;410000;Deltagelse i ERFA-møde 12/10-15;Konto;;2;0;0
30;1215;824;Kontrakt;420000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;430000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;440000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;450000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;460000;Deltagelse i kursusdag 8/10-15;Konto;;2;0;0
30;1215;824;Kontrakt;470000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;480000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;490000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;510000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;520000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;530000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;540000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;550000;Deltagelse i ERFA-møde 12/10-15;Konto;;2;0;0
30;1215;824;Kontrakt;560000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;570000;Deltagelse i ERFA-møde 12/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;580000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;590000;Deltagelse i kursusdag 8/10-15;Konto;;2;0;0
30;1215;824;Kontrakt;600000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;610000;Deltagelse i ERFA-møde 12/10-15;Konto;;2;0;0
30;1215;824;Kontrakt;620000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;630000;Deltagelse i kursusdag 8/10-15;Konto;;1;0;0
30;1215;824;Kontrakt;640000;Hellevad Vandmølle, lokaleleje 8/10;Konto;;1;1.500;1.500
30;1215;824;Kontrakt;650000;Hellevad Vandmølle, lokaleleje 8/10;Konto;;1;8.312,51;8.312,51
30;1215;824;Budget;660000;Budget kursusgebyr;Konto;;1;2.000;2.000
30;1215;824;Kontrakt;670000;Seminar om rodukrudt v. Hartmut Heilmann 30/4-15;Konto;;-1;0;0
30;1215;824;Kontrakt;680000;Sensefarm AB, sensefarmutrustning/kabler b.gebyr;Konto;;1;60;60
